,clean2,sentiment,followers_count,in_reply_to_screen_name,favorited,friends_count
0,it is been 2 days and my issue is still unresolved pathetic responses from the customer care,0.0,905,,0,103
1,hello 2rs network will you resolve my problem or not  it is been 5 days since you fooling me,0.0,75,Airtel_Presence,0,120
2,what i can see airtel tv app streams way better on airtel 4g but youtube again starts buffering so something fish httpstcojzw0ltuaav,0.0,724,,0,593
3,sorry i have registered on your app and i do not see special bundled offer at all,-1.0,171,Airtel_Presence,0,367
4,porting out of what is best option httpstcosrepwxgf0a,0.0,58,,0,142
5,"another feedback   ""  indias biggest and fastest network  ""   httpstcox5cynnm1y8",0.0,17,,0,132
6,signal lost as i went to dial some number,-1.0,19,jatingpt87,0,15
7,rt why airtel is charging double gst charging both sgst and cgst httpstcord1mxayiya,-1.0,12,,0,119
8,it is unfair that you keep changing validity of recharges ul calls w 1g data was 399 for 70days  & amp now it is 345 for 28 days,0.0,1063,Airtel_Presence,0,2706
9,rt since linking his phone to sr says his gas subsidy without his consent is going to and he mu,0.0,799,,0,605
10,omg this problem through out india please conduct a survey if you seriously wanted to look into httpstcosts2jesubj,0.0,161,Airtel_Presence,0,121
11,asked to send an email to wecare payments bank email id which i have sent they have asked me to wait for one working day,0.0,6,Airtel_Presence,0,0
12,network has gone from bad to worse what is the point of all that free gb when all you have to do is wait for anything to load,-1.0,289,Airtel_Presence,0,1507
13,dear  when i did install your airtel tv i got only 12gb completely misguiding httpstcoai5ng8rtz9,0.0,313,,0,1133
14,it really sucks i tried to shift phone 0804910707 and they closed the complaint without resolving it i am stuck with it,0.0,106,Airtel_Presence,0,2
15,rt gone through a very pathetic experience agents r son  & amp daughter of millioner so not worried if we complain to,-1.0,50,,0,54
16,could not agree more friend edu00a0u00bdedu00b8u00a1edu00a0u00bdedu00b8u00a0,-1.0,300,moizsk47,0,419
17,not available in south delhi vasant kunj d6 pathetic situation in national capital regionlogged complaint79348176,-1.0,143,Airtel_Presence,0,980
18,jio provides 84 days free service and issue will be f httpstcoxjzxkf57q9,0.0,0,Sandeep51484791,0,1
19,out fault in customers phone,-1.0,31,12_mahima,0,132
20,please advise,0.0,5,Airtel_Presence,0,17
21,last time my plan was degraded but i received same peaked bill why such hippocratic treatment,0.0,143,SomitSpeaks,0,242
22,rt so as i tweeted earlier that this is a big i was not wrongnobody calls mei,-1.0,2753,,0,1343
23,trying to call on 0124 4448080,0.0,25,airtelindia,0,553
24,hey  bought a international roaming pack  not yet activated please help,-1.0,471,,0,628
25,not acceptable all details taken from me 3 times  & ampfeasibility confi httpstcouajfjvlkji,-1.0,179,rajesh_tara,0,267
26,i am waiting for your response,0.0,3,Airtel_Presence,0,28
